,name,feature,start,end,strand
1,Bx3,mRNA,1,1889,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1383,1889,-
5,Bx4,mRNA,52688,54357,-
6,exon2,exon,52688,53314,-
7,exon1,exon,53392,54357,-
8,Bx5,mRNA,100674,101787,+
9,exon2,exon,100674,101207,+
10,exon3,exon,101347,101787,+
11,Bx8,mRNA,187106,188608,-
12,exon2,exon,187106,187989,-
13,exon1,exon,188113,188608,-
14,Bx1,mRNA,220986,222759,+
15,exon1,exon,220986,221282,+
16,exon2,exon,221418,221727,+
17,exon3,exon,221824,221901,+
18,exon4,exon,222389,222526,+
19,exon5,exon,222625,222759,+
20,Cyp71C4,mRNA,225747,227461,+
21,exon1,exon,225747,226742,+
22,exon2,exon,226841,227461,+
