,name,feature,start,end,strand
1,Bx3,mRNA,1,1889,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1383,1889,-
5,Bx4,mRNA,40281,41943,-
6,exon2,exon,40281,40907,-
7,exon1,exon,40978,41943,-
8,Bx5,mRNA,77830,78900,+
9,exon2,exon,77830,78363,+
10,exon3,exon,78460,78900,+
11,Bx8,mRNA,166331,167828,-
12,exon2,exon,166331,167214,-
13,exon1,exon,167333,167828,-
14,Bx1,mRNA,225746,227283,+
15,exon1,exon,225746,226051,+
16,exon2,exon,226149,226458,+
17,exon3,exon,226552,226629,+
18,exon4,exon,226910,227047,+
19,exon5,exon,227149,227283,+
20,Cyp71C4,mRNA,230269,231982,+
21,exon1,exon,230269,231264,+
22,exon2,exon,231362,231982,+
