,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,40375,42044,-
6,exon2,exon,40375,41001,-
7,exon1,exon,41079,42044,-
8,Bx5,mRNA,77931,79001,+
9,exon2,exon,77931,78464,+
10,exon3,exon,78561,79001,+
11,Bx8,mRNA,157793,159292,-
12,exon2,exon,157793,158676,-
13,exon1,exon,158797,159292,-
14,Bx1,mRNA,203698,205247,+
15,exon1,exon,203698,204003,+
16,exon2,exon,204113,204422,+
17,exon3,exon,204515,204592,+
18,exon4,exon,204877,205014,+
19,exon5,exon,205113,205247,+
20,Cyp71C4,mRNA,208245,209956,+
21,exon1,exon,208245,209246,+
22,exon2,exon,209336,209956,+
