,name,feature,start,end,strand
1,Bx3,mRNA,1,1891,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1385,1891,-
5,Bx4,mRNA,52051,53720,-
6,exon2,exon,52051,52677,-
7,exon1,exon,52755,53720,-
8,Bx5,mRNA,118408,119466,+
9,exon2,exon,118408,118938,+
10,exon3,exon,119026,119466,+
11,Bx8,mRNA,240663,242152,-
12,exon2,exon,240663,241546,-
13,exon1,exon,241663,242152,-
14,Bx1,mRNA,263842,265425,+
15,exon1,exon,263842,264147,+
16,exon2,exon,264283,264592,+
17,exon3,exon,264693,264770,+
18,exon4,exon,265055,265192,+
19,exon5,exon,265291,265425,+
20,Cyp71C4,mRNA,268431,270144,+
21,exon1,exon,268431,269426,+
22,exon2,exon,269524,270144,+
