,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,74825,76494,-
6,exon2,exon,74825,75451,-
7,exon1,exon,75529,76494,-
8,Bx5,mRNA,147123,148193,+
9,exon2,exon,147123,147656,+
10,exon3,exon,147753,148193,+
11,Bx8,mRNA,260020,261517,-
12,exon2,exon,260020,260903,-
13,exon1,exon,261022,261517,-
14,Bx1,mRNA,281552,283101,+
15,exon1,exon,281552,281857,+
16,exon2,exon,281967,282276,+
17,exon3,exon,282369,282446,+
18,exon4,exon,282731,282868,+
19,exon5,exon,282967,283101,+
20,Cyp71C4,mRNA,286573,288286,+
21,exon1,exon,286573,287568,+
22,exon2,exon,287666,288286,+
