,name,feature,start,end,strand
1,Bx3,mRNA,1,1891,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1385,1891,-
5,Bx4,mRNA,48767,50436,-
6,exon2,exon,48767,49393,-
7,exon1,exon,49471,50436,-
8,Bx5,mRNA,150180,151238,+
9,exon2,exon,150180,150710,+
10,exon3,exon,150798,151238,+
11,Bx8,mRNA,236564,238061,-
12,exon2,exon,236564,237447,-
13,exon1,exon,237566,238061,-
14,Bx1,mRNA,285262,286838,+
15,exon1,exon,285262,285567,+
16,exon2,exon,285705,286014,+
17,exon3,exon,286107,286184,+
18,exon4,exon,286465,286602,+
19,exon5,exon,286704,286838,+
20,Cyp71C4,mRNA,289845,291577,+
21,exon1,exon,289845,290852,+
22,exon2,exon,290957,291577,+
