,name,feature,start,end,strand
1,Bx3,mRNA,1,1896,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1390,1896,-
5,Bx4,mRNA,66174,67836,-
6,exon2,exon,66174,66800,-
7,exon1,exon,66871,67836,-
8,Bx5,mRNA,128595,129653,+
9,exon2,exon,128595,129125,+
10,exon3,exon,129213,129653,+
11,Bx8,mRNA,210363,211862,-
12,exon2,exon,210363,211246,-
13,exon1,exon,211367,211862,-
14,Bx1,mRNA,231492,233058,+
15,exon1,exon,231492,231776,+
16,exon2,exon,231912,232221,+
17,exon3,exon,232323,232400,+
18,exon4,exon,232688,232825,+
19,exon5,exon,232924,233058,+
20,Cyp71C4,mRNA,236034,237742,+
21,exon1,exon,236034,237029,+
22,exon2,exon,237122,237742,+
