,name,feature,start,end,strand
1,Bx3,mRNA,1,1898,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1392,1898,-
5,Bx4,mRNA,74981,76650,-
6,exon2,exon,74981,75607,-
7,exon1,exon,75685,76650,-
8,Bx5,mRNA,132490,133561,+
9,exon2,exon,132490,133023,+
10,exon3,exon,133121,133561,+
11,Bx8,mRNA,208391,209888,-
12,exon2,exon,208391,209274,-
13,exon1,exon,209393,209888,-
14,Bx1,mRNA,229940,231516,+
15,exon1,exon,229940,230245,+
16,exon2,exon,230383,230692,+
17,exon3,exon,230786,230863,+
18,exon4,exon,231144,231281,+
19,exon5,exon,231382,231516,+
20,Cyp71C4,mRNA,234518,236231,+
21,exon1,exon,234518,235513,+
22,exon2,exon,235611,236231,+
