,name,feature,start,end,strand
1,Bx3,mRNA,1,1124,-
2,exon2,exon,1,440,-
3,exon1,exon,618,1124,-
4,Bx4,mRNA,27898,29571,-
5,exon2,exon,27898,28524,-
6,exon1,exon,28606,29571,-
7,Bx5,mRNA,35069,36137,+
8,exon2,exon,35069,35602,+
9,exon3,exon,35697,36137,+
10,Bx8,mRNA,148180,149781,-
11,exon2,exon,148180,148558,-
12,exon1,exon,149652,149781,-
13,Bx1,mRNA,170432,171977,+
14,exon1,exon,170432,170737,+
15,exon2,exon,170854,171163,+
16,exon3,exon,171264,171341,+
17,exon4,exon,171611,171748,+
18,exon5,exon,171843,171977,+
19,Cyp71C4,mRNA,174638,176307,+
20,exon1,exon,174638,175207,+
21,exon2,exon,175687,176307,+
