,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,52478,54147,-
6,exon2,exon,52478,53104,-
7,exon1,exon,53182,54147,-
8,Bx5,mRNA,109783,110854,+
9,exon2,exon,109783,110316,+
10,exon3,exon,110414,110854,+
11,Bx8,mRNA,218268,219765,-
12,exon2,exon,218268,219151,-
13,exon1,exon,219270,219765,-
14,Bx1,mRNA,264194,265739,+
15,exon1,exon,264194,264484,+
16,exon2,exon,264620,264929,+
17,exon3,exon,265023,265100,+
18,exon4,exon,265376,265513,+
19,exon5,exon,265605,265739,+
20,Cyp71C4,mRNA,268726,270440,+
21,exon1,exon,268726,269721,+
22,exon2,exon,269820,270440,+
