,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,74551,76220,-
6,exon2,exon,74551,75177,-
7,exon1,exon,75255,76220,-
8,Bx5,mRNA,149914,150982,+
9,exon2,exon,149914,150444,+
10,exon3,exon,150542,150982,+
11,Bx8,mRNA,262766,264263,-
12,exon2,exon,262766,263649,-
13,exon1,exon,263768,264263,-
14,Bx1,mRNA,284243,285785,+
15,exon1,exon,284243,284533,+
16,exon2,exon,284651,284960,+
17,exon3,exon,285053,285130,+
18,exon4,exon,285415,285552,+
19,exon5,exon,285651,285785,+
20,Cyp71C4,mRNA,289257,290970,+
21,exon1,exon,289257,290252,+
22,exon2,exon,290350,290970,+
