,name,feature,start,end,strand
1,Bx3,mRNA,1,1944,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1438,1944,-
5,Bx4,mRNA,52082,53751,-
6,exon2,exon,52082,52708,-
7,exon1,exon,52786,53751,-
8,Bx5,mRNA,127449,128519,+
9,exon2,exon,127449,127982,+
10,exon3,exon,128079,128519,+
11,Bx8,mRNA,232960,234457,-
12,exon2,exon,232960,233843,-
13,exon1,exon,233962,234457,-
14,Bx1,mRNA,254449,255983,+
15,exon1,exon,254449,254745,+
16,exon2,exon,254855,255164,+
17,exon3,exon,255262,255339,+
18,exon4,exon,255613,255750,+
19,exon5,exon,255849,255983,+
20,Cyp71C4,mRNA,258977,260690,+
21,exon1,exon,258977,259972,+
22,exon2,exon,260070,260690,+
