,name,feature,start,end,strand
1,Bx3,mRNA,1,1896,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1390,1896,-
5,Bx4,mRNA,46776,48448,-
6,exon2,exon,46776,47402,-
7,exon1,exon,47483,48448,-
8,Bx5,mRNA,121763,122873,+
9,exon2,exon,121763,122293,+
10,exon3,exon,122433,122873,+
11,Bx8,mRNA,200649,202145,-
12,exon2,exon,200649,201532,-
13,exon1,exon,201656,202145,-
14,Bx1,mRNA,224779,226322,+
15,exon1,exon,224779,225063,+
16,exon2,exon,225199,225508,+
17,exon3,exon,225598,225675,+
18,exon4,exon,225952,226089,+
19,exon5,exon,226188,226322,+
20,Cyp71C4,mRNA,229320,231039,+
21,exon1,exon,229320,230321,+
22,exon2,exon,230419,231039,+
