,name,feature,start,end,strand
1,Bx3,mRNA,1,1889,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1383,1889,-
5,Bx4,mRNA,52378,54047,-
6,exon2,exon,52378,53004,-
7,exon1,exon,53082,54047,-
8,Bx5,mRNA,89934,91004,+
9,exon2,exon,89934,90467,+
10,exon3,exon,90564,91004,+
11,Bx8,mRNA,200703,202200,-
12,exon2,exon,200703,201586,-
13,exon1,exon,201705,202200,-
14,Bx1,mRNA,242586,244133,+
15,exon1,exon,242586,242891,+
16,exon2,exon,243001,243310,+
17,exon3,exon,243403,243480,+
18,exon4,exon,243761,243898,+
19,exon5,exon,243999,244133,+
20,Cyp71C4,mRNA,247137,248857,+
21,exon1,exon,247137,248138,+
22,exon2,exon,248237,248857,+
