,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,74922,76591,-
6,exon2,exon,74922,75548,-
7,exon1,exon,75626,76591,-
8,Bx5,mRNA,123932,125002,+
9,exon2,exon,123932,124465,+
10,exon3,exon,124562,125002,+
11,Bx8,mRNA,235117,236614,-
12,exon2,exon,235117,236000,-
13,exon1,exon,236119,236614,-
14,Bx1,mRNA,281030,282556,+
15,exon1,exon,281030,281320,+
16,exon2,exon,281438,281747,+
17,exon3,exon,281840,281917,+
18,exon4,exon,282193,282330,+
19,exon5,exon,282422,282556,+
20,Cyp71C4,mRNA,285562,287274,+
21,exon1,exon,285562,286566,+
22,exon2,exon,286654,287274,+
