,name,feature,start,end,strand
1,Bx3,mRNA,1,1889,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1383,1889,-
5,Bx4,mRNA,52999,54668,-
6,exon2,exon,52999,53625,-
7,exon1,exon,53703,54668,-
8,Bx5,mRNA,130984,132054,+
9,exon2,exon,130984,131517,+
10,exon3,exon,131614,132054,+
11,Bx8,mRNA,224387,225884,-
12,exon2,exon,224387,225270,-
13,exon1,exon,225389,225884,-
14,Bx1,mRNA,267087,268634,+
15,exon1,exon,267087,267392,+
16,exon2,exon,267502,267811,+
17,exon3,exon,267904,267981,+
18,exon4,exon,268262,268399,+
19,exon5,exon,268500,268634,+
20,Cyp71C4,mRNA,271638,273358,+
21,exon1,exon,271638,272639,+
22,exon2,exon,272738,273358,+
