,name,feature,start,end,strand
1,Bx3,mRNA,1,1879,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1373,1879,-
5,Bx4,mRNA,52366,54028,-
6,exon2,exon,52366,52992,-
7,exon1,exon,53063,54028,-
8,Bx5,mRNA,127641,128709,+
9,exon2,exon,127641,128174,+
10,exon3,exon,128269,128709,+
11,Bx8,mRNA,217510,219007,-
12,exon2,exon,217510,218393,-
13,exon1,exon,218512,219007,-
14,Bx1,mRNA,259320,260857,+
15,exon1,exon,259320,259625,+
16,exon2,exon,259723,260032,+
17,exon3,exon,260126,260203,+
18,exon4,exon,260484,260621,+
19,exon5,exon,260723,260857,+
20,Cyp71C4,mRNA,263850,265563,+
21,exon1,exon,263850,264845,+
22,exon2,exon,264943,265563,+
