,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,779,1219,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,68016,69678,-
6,exon2,exon,68016,68642,-
7,exon1,exon,68713,69678,-
8,Bx5,mRNA,130434,131492,+
9,exon2,exon,130434,130964,+
10,exon3,exon,131052,131492,+
11,Bx8,mRNA,245452,246951,-
12,exon2,exon,245452,246335,-
13,exon1,exon,246456,246951,-
14,Bx1,mRNA,281781,283356,+
15,exon1,exon,281781,282077,+
16,exon2,exon,282213,282522,+
17,exon3,exon,282623,282700,+
18,exon4,exon,282986,283123,+
19,exon5,exon,283222,283356,+
20,Cyp71C4,mRNA,287030,288744,+
21,exon1,exon,287030,288025,+
22,exon2,exon,288124,288744,+
