,name,feature,start,end,strand
1,Bx3,mRNA,1,1881,-
2,exon3,exon,1,629,-
3,exon2,exon,773,1213,-
4,exon1,exon,1375,1881,-
5,Bx4,mRNA,53283,54952,-
6,exon2,exon,53283,53909,-
7,exon1,exon,53987,54952,-
8,Bx5,mRNA,110500,111570,+
9,exon2,exon,110500,111033,+
10,exon3,exon,111130,111570,+
11,Bx8,mRNA,190987,192473,-
12,exon2,exon,190987,191870,-
13,exon1,exon,191987,192473,-
14,Bx1,mRNA,233176,234717,+
15,exon1,exon,233176,233466,+
16,exon2,exon,233584,233893,+
17,exon3,exon,233986,234063,+
18,exon4,exon,234344,234481,+
19,exon5,exon,234583,234717,+
20,Cyp71C4,mRNA,237722,239447,+
21,exon1,exon,237722,238729,+
22,exon2,exon,238827,239447,+
